Apogee Enterprises Quarterly Net Income (Millions of US $),Apogee Enterprises Quarterly Net Income (Millions of US $).1
2024-08-31,$31
2024-05-31,$31
2024-02-29,$16
2023-11-30,$27
2023-08-31,$33
2023-05-31,$24
2023-02-28,$20
2022-11-30,$24
2022-08-31,$37
2022-05-31,$23
2022-02-28,$-16
2021-11-30,$11
2021-08-31,$-2
2021-05-31,$11
2021-02-28,$-42
2020-11-30,$37
2020-08-31,$18
2020-05-31,$3
2020-02-29,$12
2019-11-30,$15
2019-08-31,$19
2019-05-31,$15
2019-02-28,$-12
2018-11-30,$22
2018-08-31,$21
2018-05-31,$15
2018-02-28,$22
2017-11-30,$24
2017-08-31,$17
2017-05-31,$16
2017-02-28,$23
2016-11-30,$23
2016-08-31,$22
2016-05-31,$18
2016-02-29,$20
2015-11-30,$19
2015-08-31,$15
2015-05-31,$12
2015-02-28,$14
2014-11-30,$14
2014-08-31,$17
2014-05-31,$6
2014-02-28,$8
2013-11-30,$10
2013-08-31,$6
2013-05-31,$4
2013-02-28,$4
2012-11-30,$8
2012-08-31,$5
2012-05-31,$2
2012-02-29,$3
2011-11-30,$6
2011-08-31,$-2
2011-05-31,$-2
2011-02-28,$-4
2010-11-30,$-2
2010-08-31,$-0
2010-05-31,$-3
2010-02-28,$0
2009-11-30,$11
2009-08-31,$13
2009-05-31,$8
2009-02-28,$11
