CareDx Quarterly Net Income (Millions of US $),CareDx Quarterly Net Income (Millions of US $).1
2024-06-30,$-1
2024-03-31,$-17
2023-12-31,$-118
2023-09-30,$-23
2023-06-30,$-25
2023-03-31,$-24
2022-12-31,$-18
2022-09-30,$-17
2022-06-30,$-22
2022-03-31,$-20
2021-12-31,$-16
2021-09-30,$-12
2021-06-30,$-2
2021-03-31,$-1
2020-12-31,$-4
2020-09-30,$-3
2020-06-30,$-7
2020-03-31,$-6
2019-12-31,$-5
2019-09-30,$-2
2019-06-30,$-8
2019-03-31,$-8
2018-12-31,$-4
2018-09-30,$-20
2018-06-30,$-14
2018-03-31,$-9
2017-12-31,$-32
2017-09-30,$-14
2017-06-30,$-4
2017-03-31,$-6
2016-12-31,$-15
2016-09-30,$-4
2016-06-30,$-10
2016-03-31,$-10
2015-12-31,$-5
2015-09-30,$-3
2015-06-30,$-3
2015-03-31,$-2
2014-12-31,$-0
2014-09-30,$1
2014-06-30,$1
2014-03-31,$-1
2013-12-31,$-1
2013-09-30,$-1
2013-06-30,$-1
2013-03-31,$-1
2012-12-31,
