Aurinia Pharmaceuticals Inc Quarterly Net Income (Millions of US $),Aurinia Pharmaceuticals Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$1
2024-03-31,$-11
2023-12-31,$-27
2023-09-30,$-13
2023-06-30,$-11
2023-03-31,$-26
2022-12-31,$-26
2022-09-30,$-9
2022-06-30,$-36
2022-03-31,$-38
2021-12-31,$-33
2021-09-30,$-50
2021-06-30,$-47
2021-03-31,$-50
2020-12-31,$-8
2020-09-30,$-42
2020-06-30,$-27
2020-03-31,$-26
2019-12-31,$-41
2019-09-30,$-19
2019-06-30,$-16
2019-03-31,$-12
2018-12-31,$-15
2018-09-30,$-18
2018-06-30,$-16
2018-03-31,$-15
2017-12-31,$-3
2017-09-30,$-13
2017-06-30,$-2
2017-03-31,$-52
2016-12-31,$-8
2016-09-30,$-7
2016-06-30,$-3
2016-03-31,$-4
2015-12-31,$-4
2015-09-30,$-5
2015-06-30,$-1
2015-03-31,$-9
2014-12-31,$-5
2014-09-30,$-3
2014-06-30,$-4
2014-03-31,$-5
2013-12-31,$1
2013-09-30,$-2
2013-06-30,$-1
2013-03-31,$-1
