Spirit Aerosystems Holdings Quarterly Net Income (Millions of US $),Spirit Aerosystems Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$-415
2024-03-31,$-617
2023-12-31,$75
2023-09-30,$-204
2023-06-30,$-206
2023-03-31,$-281
2022-12-31,$-243
2022-09-30,$-128
2022-06-30,$-122
2022-03-31,$-53
2021-12-31,$-120
2021-09-30,$-114
2021-06-30,$-135
2021-03-31,$-172
2020-12-31,$-296
2020-09-30,$-156
2020-06-30,$-256
2020-03-31,$-163
2019-12-31,$68
2019-09-30,$131
2019-06-30,$168
2019-03-31,$163
2018-12-31,$178
2018-09-30,$169
2018-06-30,$145
2018-03-31,$125
2017-12-31,$123
2017-09-30,$147
2017-06-30,$-57
2017-03-31,$142
2016-12-31,$108
2016-09-30,$145
2016-06-30,$45
2016-03-31,$172
2015-12-31,$139
2015-09-30,$314
2015-06-30,$155
2015-03-31,$182
2014-12-31,$-104
2014-09-30,$168
2014-06-30,$143
2014-03-31,$152
2013-12-31,$-587
2013-09-30,$94
2013-06-30,$-209
2013-03-31,$81
2012-12-31,$60
2012-09-30,$-134
2012-06-30,$35
2012-03-31,$74
2011-12-31,$57
2011-09-30,$67
2011-06-30,$30
2011-03-31,$35
2010-12-31,$62
2010-09-30,$46
2010-06-30,$55
2010-03-31,$56
2009-12-31,$50
2009-09-30,$87
2009-06-30,$-8
2009-03-31,$63
