Collegium Pharmaceutical Quarterly Net Income (Millions of US $),Collegium Pharmaceutical Quarterly Net Income (Millions of US $).1
2024-06-30,$20
2024-03-31,$28
2023-12-31,$32
2023-09-30,$21
2023-06-30,$13
2023-03-31,$-17
2022-12-31,$-7
2022-09-30,$0
2022-06-30,$-5
2022-03-31,$-13
2021-12-31,$-25
2021-09-30,$8
2021-06-30,$73
2021-03-31,$16
2020-12-31,$7
2020-09-30,$11
2020-06-30,$8
2020-03-31,$0
2019-12-31,$-2
2019-09-30,$-6
2019-06-30,$-5
2019-03-31,$-10
2018-12-31,$9
2018-09-30,$-17
2018-06-30,$-13
2018-03-31,$-19
2017-12-31,$-17
2017-09-30,$-13
2017-06-30,$-21
2017-03-31,$-23
2016-12-31,$-28
2016-09-30,$-26
2016-06-30,$-25
2016-03-31,$-16
2015-12-31,$-2
2015-09-30,$-9
2015-06-30,$-5
2015-03-31,$-4
2014-12-31,$-3
2014-09-30,$-7
2014-06-30,$-4
2014-03-31,$-5
2013-12-31,
