Innoviva Quarterly Net Income (Millions of US $),Innoviva Quarterly Net Income (Millions of US $).1
2024-06-30,$-35
2024-03-31,$37
2023-12-31,$62
2023-09-30,$82
2023-06-30,$1
2023-03-31,$35
2022-12-31,$-68
2022-09-30,$266
2022-06-30,$1
2022-03-31,$16
2021-12-31,$10
2021-09-30,$72
2021-06-30,$89
2021-03-31,$94
2020-12-31,$54
2020-09-30,$28
2020-06-30,$77
2020-03-31,$65
2019-12-31,$46
2019-09-30,$40
2019-06-30,$38
2019-03-31,$34
2018-12-31,$264
2018-09-30,$47
2018-06-30,$55
2018-03-31,$30
2017-12-31,$58
2017-09-30,$24
2017-06-30,$35
2017-03-31,$17
2016-12-31,$25
2016-09-30,$15
2016-06-30,$15
2016-03-31,$4
2015-12-31,$4
2015-09-30,$-5
2015-06-30,$-8
2015-03-31,$-11
2014-12-31,$-16
2014-09-30,$-21
2014-06-30,$-64
2014-03-31,$-68
2013-12-31,$-50
2013-09-30,$-47
2013-06-30,$-36
2013-03-31,$-37
2012-12-31,$-31
2012-09-30,$-35
2012-06-30,$-37
2012-03-31,$85
2011-12-31,$-37
2011-09-30,$-31
2011-06-30,$-25
2011-03-31,$-23
2010-12-31,$-19
2010-09-30,$-21
2010-06-30,$-21
2010-03-31,$-23
2009-12-31,$-22
2009-09-30,$-22
2009-06-30,$-22
2009-03-31,$-19
