HealthEquity Quarterly Net Income (Millions of US $),HealthEquity Quarterly Net Income (Millions of US $).1
2024-07-31,$36
2024-04-30,$29
2024-01-31,$26
2023-10-31,$15
2023-07-31,$11
2023-04-30,$4
2023-01-31,$-0
2022-10-31,$-2
2022-07-31,$-11
2022-04-30,$-14
2022-01-31,$-33
2021-10-31,$-5
2021-07-31,$-4
2021-04-30,$-3
2021-01-31,$5
2020-10-31,$2
2020-07-31,$-0
2020-04-30,$2
2020-01-31,$-0
2019-10-31,$-21
2019-07-31,$19
2019-04-30,$42
2019-01-31,$13
2018-10-31,$16
2018-07-31,$23
2018-04-30,$23
2018-01-31,$6
2017-10-31,$10
2017-07-31,$17
2017-04-30,$14
2017-01-31,$4
2016-10-31,$6
2016-07-31,$8
2016-04-30,$8
2016-01-31,$3
2015-10-31,$4
2015-07-31,$4
2015-04-30,$5
2015-01-31,$4
2014-10-31,$3
2014-07-31,$2
2014-04-30,$4
2014-01-31,
2013-10-31,$1
2013-07-31,$1
2013-01-31,
