Guardant Health Quarterly Net Income (Millions of US $),Guardant Health Quarterly Net Income (Millions of US $).1
2024-06-30,$-103
2024-03-31,$-115
2023-12-31,$-187
2023-09-30,$-86
2023-06-30,$-73
2023-03-31,$-134
2022-12-31,$-140
2022-09-30,$-162
2022-06-30,$-229
2022-03-31,$-123
2021-12-31,$-91
2021-09-30,$-108
2021-06-30,$-98
2021-03-31,$-110
2020-12-31,$-94
2020-09-30,$-78
2020-06-30,$-55
2020-03-31,$-28
2019-12-31,$-25
2019-09-30,$-13
2019-06-30,$-12
2019-03-31,$-26
2018-12-31,$-25
2018-09-30,$-24
2018-06-30,$-22
2018-03-31,$-14
2017-12-31,
2017-09-30,$-33
2016-12-31,
