Chemed Quarterly Net Income (Millions of US $),Chemed Quarterly Net Income (Millions of US $).1
2024-06-30,$71
2024-03-31,$65
2023-12-31,$90
2023-09-30,$75
2023-06-30,$53
2023-03-31,$54
2022-12-31,$62
2022-09-30,$57
2022-06-30,$66
2022-03-31,$64
2021-12-31,$75
2021-09-30,$72
2021-06-30,$57
2021-03-31,$65
2020-12-31,$114
2020-09-30,$68
2020-06-30,$82
2020-03-31,$56
2019-12-31,$66
2019-09-30,$59
2019-06-30,$51
2019-03-31,$45
2018-12-31,$54
2018-09-30,$51
2018-06-30,$55
2018-03-31,$45
2017-12-31,$55
2017-09-30,$35
2017-06-30,$-22
2017-03-31,$30
2016-12-31,$32
2016-09-30,$27
2016-06-30,$25
2016-03-31,$25
2015-12-31,$30
2015-09-30,$29
2015-06-30,$27
2015-03-31,$25
2014-12-31,$30
2014-09-30,$25
2014-06-30,$24
2014-03-31,$21
2013-12-31,$23
2013-09-30,$17
2013-06-30,$15
2013-03-31,$22
2012-12-31,$27
2012-09-30,$21
2012-06-30,$21
2012-03-31,$20
2011-12-31,$26
2011-09-30,$22
2011-06-30,$20
2011-03-31,$18
2010-12-31,$23
2010-09-30,$21
2010-06-30,$19
2010-03-31,$19
2009-12-31,$18
2009-09-30,$19
2009-06-30,$17
2009-03-31,$19
