Eli Lilly Quarterly Net Income (Millions of US $),Eli Lilly Quarterly Net Income (Millions of US $).1
2024-06-30,"$2,967"
2024-03-31,"$2,243"
2023-12-31,"$2,190"
2023-09-30,$-57
2023-06-30,"$1,763"
2023-03-31,"$1,345"
2022-12-31,"$1,938"
2022-09-30,"$1,452"
2022-06-30,$953
2022-03-31,"$1,903"
2021-12-31,"$1,726"
2021-09-30,"$1,110"
2021-06-30,"$1,390"
2021-03-31,"$1,355"
2020-12-31,"$2,117"
2020-09-30,"$1,208"
2020-06-30,"$1,412"
2020-03-31,"$1,457"
2019-12-31,"$1,496"
2019-09-30,"$1,254"
2019-06-30,"$1,327"
2019-03-31,"$4,242"
2018-12-31,"$1,125"
2018-09-30,"$1,150"
2018-06-30,$-260
2018-03-31,"$1,217"
2017-12-31,"$-1,657"
2017-09-30,$556
2017-06-30,"$1,008"
2017-03-31,$-111
2016-12-31,$772
2016-09-30,$778
2016-06-30,$748
2016-03-31,$440
2015-12-31,$478
2015-09-30,$800
2015-06-30,$601
2015-03-31,$530
2014-12-31,$429
2014-09-30,$501
2014-06-30,$734
2014-03-31,$728
2013-12-31,$728
2013-09-30,"$1,203"
2013-06-30,"$1,206"
2013-03-31,"$1,548"
2012-12-31,$827
2012-09-30,"$1,327"
2012-06-30,$924
2012-03-31,"$1,011"
2011-12-31,$858
2011-09-30,"$1,236"
2011-06-30,"$1,197"
2011-03-31,"$1,056"
2010-12-31,"$1,170"
2010-09-30,"$1,303"
2010-06-30,"$1,349"
2010-03-31,"$1,248"
2009-12-31,$915
2009-09-30,$942
2009-06-30,"$1,159"
2009-03-31,"$1,313"
