Embotelladora Andina S.A Quarterly Net Income (Millions of US $),Embotelladora Andina S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$27
2024-03-31,$78
2023-12-31,$61
2023-09-30,$76
2023-06-30,$16
2023-03-31,$52
2022-12-31,$30
2022-09-30,$37
2022-06-30,$31
2022-03-31,$40
2021-12-31,$89
2021-09-30,$52
2021-06-30,$2
2021-03-31,$59
2020-12-31,$66
2020-09-30,$34
2020-06-30,$2
2020-03-31,$58
2019-12-31,$116
2019-09-30,$35
2019-06-30,$23
2019-03-31,$69
2018-12-31,$44
2018-09-30,$16
2018-06-30,$18
2018-03-31,$77
2017-12-31,$64
2017-09-30,$34
2017-06-30,$14
2017-03-31,$64
2016-12-31,$40
2016-09-30,$24
2016-06-30,$8
2016-03-31,$46
2015-12-31,$43
2015-09-30,$19
2015-06-30,$14
2015-03-31,$58
2014-12-31,$66
2014-09-30,$13
2014-06-30,$8
2014-03-31,$44
2013-12-31,$66
2013-09-30,$29
2013-06-30,$29
2013-03-31,$52
2012-12-31,$81
2012-09-30,$27
2012-06-30,$23
2012-03-31,$49
2011-12-31,$67
2011-09-30,$42
2011-06-30,$32
2011-03-31,$58
2010-12-31,$70
2010-09-30,$35
2010-06-30,$29
2010-03-31,$60
2009-12-31,$171
2009-09-30,$36
2009-06-30,$23
2009-03-31,$39
