IRSA Inversiones Y Representaciones S.A Quarterly Net Income (Millions of US $),IRSA Inversiones Y Representaciones S.A Quarterly Net Income (Millions of US $).1
2024-03-31,$-383
2023-12-31,$59
2023-09-30,$254
2023-06-30,$179
2023-03-31,$64
2022-12-31,$85
2022-09-30,$9
2022-06-30,$182
2022-03-31,$-163
2021-12-31,$264
2021-09-30,$-6
2020-12-31,$-99
2020-09-30,$91
2020-06-30,$390
2020-03-31,$-131
2019-12-31,$-86
2019-09-30,$67
2019-06-30,$-727
2019-03-31,$-75
2018-12-31,$-173
2018-09-30,$301
2018-06-30,$236
2018-03-31,$25
2017-12-31,$477
2017-09-30,$32
2017-06-30,$59
2017-03-31,$5
2016-12-31,$171
2016-09-30,$-39
2016-06-30,$4
2016-03-31,$-13
2015-12-31,$-21
2015-09-30,$-30
2015-06-30,$85
2015-03-31,$-28
2014-12-31,$-11
2014-09-30,$0
2014-06-30,$-50
2014-03-31,$-9
2013-12-31,$-9
2013-09-30,$5
2013-06-30,$-14
2013-03-31,$18
2012-12-31,$36
2012-09-30,$11
2012-06-30,$14
2012-03-31,$19
2011-12-31,$27
2011-09-30,$1
2011-06-30,$15
2011-03-31,$54
2010-12-31,$29
2010-09-30,$14
2010-06-30,$9
2010-03-31,$9
2009-12-31,$35
2009-09-30,$34
2009-06-30,$102
2009-03-31,$-2
