Chart Industries Quarterly Net Income (Millions of US $),Chart Industries Quarterly Net Income (Millions of US $).1
2024-06-30,$52
2024-03-31,$11
2023-12-31,$64
2023-09-30,$-3
2023-06-30,$2
2023-03-31,$-15
2022-12-31,$-40
2022-09-30,$41
2022-06-30,$13
2022-03-31,$10
2021-12-31,$12
2021-09-30,$15
2021-06-30,$7
2021-03-31,$26
2020-12-31,$258
2020-09-30,$22
2020-06-30,$20
2020-03-31,$9
2019-12-31,$12
2019-09-30,$19
2019-06-30,$14
2019-03-31,$1
2018-12-31,$48
2018-09-30,$22
2018-06-30,$12
2018-03-31,$6
2017-12-31,$27
2017-09-30,$2
2017-06-30,$3
2017-03-31,$-3
2016-12-31,$-3
2016-09-30,$15
2016-06-30,$21
2016-03-31,$-5
2015-12-31,$-230
2015-09-30,$5
2015-06-30,$17
2015-03-31,$5
2014-12-31,$27
2014-09-30,$23
2014-06-30,$20
2014-03-31,$12
2013-12-31,$23
2013-09-30,$24
2013-06-30,$20
2013-03-31,$16
2012-12-31,$21
2012-09-30,$19
2012-06-30,$18
2012-03-31,$14
2011-12-31,$8
2011-09-30,$18
2011-06-30,$11
2011-03-31,$8
2010-12-31,$10
2010-09-30,$7
2010-06-30,$2
2010-03-31,$1
2009-12-31,$16
2009-09-30,$8
2009-06-30,$18
2009-03-31,$19
