Stryker Quarterly Net Income (Millions of US $),Stryker Quarterly Net Income (Millions of US $).1
2024-06-30,$825
2024-03-31,$788
2023-12-31,"$1,143"
2023-09-30,$692
2023-06-30,$738
2023-03-31,$592
2022-12-31,$563
2022-09-30,$816
2022-06-30,$656
2022-03-31,$323
2021-12-31,$662
2021-09-30,$438
2021-06-30,$592
2021-03-31,$302
2020-12-31,$568
2020-09-30,$621
2020-06-30,$-83
2020-03-31,$493
2019-12-31,$725
2019-09-30,$466
2019-06-30,$480
2019-03-31,$412
2018-12-31,"$2,068"
2018-09-30,$590
2018-06-30,$452
2018-03-31,$443
2017-12-31,$-249
2017-09-30,$434
2017-06-30,$391
2017-03-31,$444
2016-12-31,$510
2016-09-30,$355
2016-06-30,$380
2016-03-31,$402
2015-12-31,$522
2015-09-30,$301
2015-06-30,$392
2015-03-31,$224
2014-12-31,$260
2014-09-30,$57
2014-06-30,$128
2014-03-31,$70
2013-12-31,$386
2013-09-30,$103
2013-06-30,$213
2013-03-31,$304
2012-12-31,$270
2012-09-30,$353
2012-06-30,$325
2012-03-31,$350
2011-12-31,$401
2011-09-30,$327
2011-06-30,$310
2011-03-31,$307
2010-12-31,$295
2010-09-30,$337
2010-06-30,$319
2010-03-31,$322
2009-12-31,$306
2009-09-30,$229
2009-06-30,$291
2009-03-31,$281
