Royal Gold Quarterly Net Income (Millions of US $),Royal Gold Quarterly Net Income (Millions of US $).1
2024-06-30,$81
2024-03-31,$47
2023-12-31,$63
2023-09-30,$49
2023-06-30,$63
2023-03-31,$64
2022-12-31,$56
2022-09-30,$46
2022-06-30,$71
2022-03-31,$66
2021-12-31,
2021-09-30,$70
2021-06-30,$82
2021-03-31,$54
2020-12-31,$60
2020-09-30,$107
2020-06-30,
2020-03-31,$39
2019-12-31,$41
2019-09-30,$70
2019-06-30,
2019-03-31,$29
2018-12-31,$24
2018-09-30,$15
2018-06-30,
2018-03-31,$-154
2017-12-31,$-15
2017-09-30,$29
2017-06-30,
2017-03-31,$24
2016-12-31,$28
2016-09-30,$30
2016-06-30,
2016-03-31,$-68
2015-12-31,$15
2015-09-30,$-45
2015-06-30,
2015-03-31,$25
2014-12-31,$-7
2014-09-30,$19
2014-06-30,
2014-03-31,$20
2013-12-31,$11
2013-09-30,$15
2013-06-30,
2013-03-31,$6
2012-12-31,$27
2012-09-30,$25
2012-06-30,
2012-03-31,$26
2011-12-31,$23
2011-09-30,$22
2011-06-30,
2011-03-31,$20
2010-12-31,$18
2010-09-30,$12
2010-06-30,
2010-03-31,$-6
2009-12-31,$10
2009-09-30,$7
2009-06-30,
2009-03-31,$4
