Bausch Health Cos Quarterly Net Income (Millions of US $),Bausch Health Cos Quarterly Net Income (Millions of US $).1
2024-06-30,$10
2024-03-31,$-64
2023-12-31,$-39
2023-09-30,$-378
2023-06-30,$26
2023-03-31,$-201
2022-12-31,$-410
2022-09-30,$399
2022-06-30,$-145
2022-03-31,$-69
2021-12-31,$69
2021-09-30,$188
2021-06-30,$-595
2021-03-31,$-610
2020-12-31,$-153
2020-09-30,$71
2020-06-30,$-326
2020-03-31,$-152
2019-12-31,"$-1,516"
2019-09-30,$-49
2019-06-30,$-171
2019-03-31,$-52
2018-12-31,$-344
2018-09-30,$-350
2018-06-30,$-873
2018-03-31,"$-2,581"
2017-12-31,$513
2017-09-30,"$1,301"
2017-06-30,$-38
2017-03-31,$628
2016-12-31,$-515
2016-09-30,"$-1,218"
2016-06-30,$-302
2016-03-31,$-374
2015-12-31,$-386
2015-09-30,$50
2015-06-30,$-53
2015-03-31,$98
2014-12-31,$502
2014-09-30,$275
2014-06-30,$126
2014-03-31,$-23
2013-12-31,$124
2013-09-30,$-973
2013-06-30,$11
2013-03-31,$-28
2012-12-31,$-89
2012-09-30,$8
2012-06-30,$-22
2012-03-31,$-13
2011-12-31,$56
2011-09-30,$41
2011-06-30,$56
2011-03-31,$6
2010-12-31,$-31
2010-09-30,$-208
2010-06-30,$34
2010-03-31,$-3
2009-12-31,$73
2009-09-30,$40
2009-06-30,$24
2009-03-31,$39
