Cigna Group Quarterly Net Income (Millions of US $),Cigna Group Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,548"
2024-03-31,$-277
2023-12-31,"$1,029"
2023-09-30,"$1,408"
2023-06-30,"$1,460"
2023-03-31,"$1,267"
2022-12-31,"$1,193"
2022-09-30,"$2,757"
2022-06-30,"$1,557"
2022-03-31,"$1,197"
2021-12-31,"$1,121"
2021-09-30,"$1,621"
2021-06-30,"$1,467"
2021-03-31,"$1,161"
2020-12-31,"$4,135"
2020-09-30,"$1,388"
2020-06-30,"$1,754"
2020-03-31,"$1,181"
2019-12-31,$977
2019-09-30,"$1,351"
2019-06-30,"$1,408"
2019-03-31,"$1,368"
2018-12-31,$144
2018-09-30,$772
2018-06-30,$806
2018-03-31,$915
2017-12-31,$266
2017-09-30,$560
2017-06-30,$813
2017-03-31,$598
2016-12-31,$382
2016-09-30,$456
2016-06-30,$510
2016-03-31,$519
2015-12-31,$426
2015-09-30,$547
2015-06-30,$588
2015-03-31,$533
2014-12-31,$467
2014-09-30,$534
2014-06-30,$573
2014-03-31,$528
2013-12-31,$361
2013-09-30,$553
2013-06-30,$505
2013-03-31,$57
2012-12-31,$409
2012-09-30,$466
2012-06-30,$377
2012-03-31,$371
2011-12-31,$273
2011-09-30,$183
2011-06-30,$391
2011-03-31,$413
2010-12-31,$395
2010-09-30,$307
2010-06-30,$294
2010-03-31,$283
2009-12-31,$330
2009-09-30,$329
2009-06-30,$435
2009-03-31,$208
