Provident Financial Services Quarterly Net Income (Millions of US $),Provident Financial Services Quarterly Net Income (Millions of US $).1
2024-06-30,$-11
2024-03-31,$32
2023-12-31,$27
2023-09-30,$29
2023-06-30,$32
2023-03-31,$41
2022-12-31,$49
2022-09-30,$43
2022-06-30,$39
2022-03-31,$44
2021-12-31,$37
2021-09-30,$37
2021-06-30,$45
2021-03-31,$49
2020-12-31,$41
2020-09-30,$27
2020-06-30,$14
2020-03-31,$15
2019-12-31,$26
2019-09-30,$31
2019-06-30,$24
2019-03-31,$31
2018-12-31,$36
2018-09-30,$35
2018-06-30,$19
2018-03-31,$28
2017-12-31,$19
2017-09-30,$27
2017-06-30,$24
2017-03-31,$24
2016-12-31,$23
2016-09-30,$23
2016-06-30,$21
2016-03-31,$21
2015-12-31,$22
2015-09-30,$21
2015-06-30,$22
2015-03-31,$20
2014-12-31,$21
2014-09-30,$19
2014-06-30,$16
2014-03-31,$17
2013-12-31,$17
2013-09-30,$16
2013-06-30,$19
2013-03-31,$18
2012-12-31,$17
2012-09-30,$16
2012-06-30,$16
2012-03-31,$18
2011-12-31,$15
2011-09-30,$16
2011-06-30,$14
2011-03-31,$13
2010-12-31,$12
2010-09-30,$13
2010-06-30,$13
2010-03-31,$11
2009-12-31,$7
2009-09-30,$9
2009-06-30,$6
2009-03-31,$-144
