Cheniere Energy Quarterly Net Income (Millions of US $),Cheniere Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$880
2024-03-31,$502
2023-12-31,"$1,377"
2023-09-30,"$1,701"
2023-06-30,"$1,369"
2023-03-31,"$5,434"
2022-12-31,"$3,937"
2022-09-30,"$-2,385"
2022-06-30,$741
2022-03-31,$-865
2021-12-31,"$-1,323"
2021-09-30,"$-1,084"
2021-06-30,$-329
2021-03-31,$393
2020-12-31,$-194
2020-09-30,$-463
2020-06-30,$197
2020-03-31,$375
2019-12-31,$939
2019-09-30,$-318
2019-06-30,$-114
2019-03-31,$141
2018-12-31,$67
2018-09-30,$65
2018-06-30,$-18
2018-03-31,$357
2017-12-31,$127
2017-09-30,$-289
2017-06-30,$-285
2017-03-31,$54
2016-12-31,$110
2016-09-30,$-101
2016-06-30,$-298
2016-03-31,$-321
2015-12-31,$-291
2015-09-30,$-298
2015-06-30,$-118
2015-03-31,$-268
2014-12-31,$-159
2014-09-30,$-90
2014-06-30,$-202
2014-03-31,$-98
2013-12-31,$-135
2013-09-30,$-101
2013-06-30,$-155
2013-03-31,$-117
2012-12-31,$-94
2012-09-30,$-109
2012-06-30,$-73
2012-03-31,$-56
2011-12-31,$-58
2011-09-30,$-54
2011-06-30,$-47
2011-03-31,$-40
2010-12-31,$-86
2010-09-30,$-41
2010-06-30,$86
2010-03-31,$-35
2009-12-31,$-23
2009-09-30,$-42
2009-06-30,$-13
2009-03-31,$-83
