Kulicke And Soffa Industries Quarterly Net Income (Millions of US $),Kulicke And Soffa Industries Quarterly Net Income (Millions of US $).1
2024-06-30,$12
2024-03-31,$-103
2023-12-31,$9
2023-09-30,$23
2023-06-30,$4
2023-03-31,$15
2022-12-31,$15
2022-09-30,$65
2022-06-30,$119
2022-03-31,$116
2021-12-31,$134
2021-09-30,$134
2021-06-30,$114
2021-03-31,$71
2020-12-31,$48
2020-09-30,$16
2020-06-30,$11
2020-03-31,$12
2019-12-31,$13
2019-09-30,$6
2019-06-30,$1
2019-03-31,$-4
2018-12-31,$8
2018-09-30,$30
2018-06-30,$60
2018-03-31,$36
2017-12-31,$-70
2017-09-30,$41
2017-06-30,$35
2017-03-31,$33
2016-12-31,$17
2016-09-30,$12
2016-06-30,$32
2016-03-31,$5
2015-12-31,$-0
2015-09-30,$11
2015-06-30,$25
2015-03-31,$8
2014-12-31,$8
2014-09-30,$29
2014-06-30,$27
2014-03-31,$9
2013-12-31,$-2
2013-09-30,$30
2013-06-30,$19
2013-03-31,$7
2012-12-31,$4
2012-09-30,$67
2012-06-30,$68
2012-03-31,$17
2011-12-31,$9
2011-09-30,$1
2011-06-30,$71
2011-03-31,$40
2010-12-31,$15
2010-09-30,$55
2010-06-30,$49
2010-03-31,$21
2009-12-31,$16
2009-09-30,$7
2009-06-30,$-15
2009-03-31,$-35
