Intuitive Surgical Quarterly Net Income (Millions of US $),Intuitive Surgical Quarterly Net Income (Millions of US $).1
2024-06-30,$527
2024-03-31,$545
2023-12-31,$606
2023-09-30,$416
2023-06-30,$421
2023-03-31,$355
2022-12-31,$325
2022-09-30,$324
2022-06-30,$308
2022-03-31,$366
2021-12-31,$381
2021-09-30,$381
2021-06-30,$517
2021-03-31,$426
2020-12-31,$365
2020-09-30,$314
2020-06-30,$68
2020-03-31,$314
2019-12-31,$358
2019-09-30,$397
2019-06-30,$318
2019-03-31,$307
2018-12-31,$293
2018-09-30,$293
2018-06-30,$255
2018-03-31,$288
2017-12-31,$-32
2017-09-30,$299
2017-06-30,$223
2017-03-31,$181
2016-12-31,$206
2016-09-30,$211
2016-06-30,$185
2016-03-31,$136
2015-12-31,$190
2015-09-30,$167
2015-06-30,$135
2015-03-31,$97
2014-12-31,$147
2014-09-30,$124
2014-06-30,$104
2014-03-31,$44
2013-12-31,$166
2013-09-30,$157
2013-06-30,$159
2013-03-31,$189
2012-12-31,$175
2012-09-30,$183
2012-06-30,$155
2012-03-31,$144
2011-12-31,$151
2011-09-30,$122
2011-06-30,$117
2011-03-31,$104
2010-12-31,$121
2010-09-30,$87
2010-06-30,$89
2010-03-31,$85
2009-12-31,$78
2009-09-30,$65
2009-06-30,$62
2009-03-31,$28
