MSA Safety Incorporporated Quarterly Net Income (Millions of US $),MSA Safety Incorporporated Quarterly Net Income (Millions of US $).1
2024-06-30,$72
2024-03-31,$58
2023-12-31,$76
2023-09-30,$65
2023-06-30,$67
2023-03-31,$-150
2022-12-31,$51
2022-09-30,$45
2022-06-30,$48
2022-03-31,$36
2021-12-31,$-62
2021-09-30,$21
2021-06-30,$25
2021-03-31,$36
2020-12-31,$16
2020-09-30,$28
2020-06-30,$36
2020-03-31,$44
2019-12-31,$32
2019-09-30,$42
2019-06-30,$40
2019-03-31,$23
2018-12-31,$25
2018-09-30,$34
2018-06-30,$33
2018-03-31,$32
2017-12-31,$-33
2017-09-30,$32
2017-06-30,$13
2017-03-31,$14
2016-12-31,$25
2016-09-30,$24
2016-06-30,$31
2016-03-31,$12
2015-12-31,$21
2015-09-30,$16
2015-06-30,$24
2015-03-31,$10
2014-12-31,$33
2014-09-30,$19
2014-06-30,$22
2014-03-31,$14
2013-12-31,$25
2013-09-30,$20
2013-06-30,$24
2013-03-31,$19
2012-12-31,$19
2012-09-30,$19
2012-06-30,$28
2012-03-31,$24
2011-12-31,$17
2011-09-30,$20
2011-06-30,$19
2011-03-31,$13
2010-12-31,$11
2010-09-30,$10
2010-06-30,$12
2010-03-31,$5
2009-12-31,$12
2009-09-30,$11
2009-06-30,$12
2009-03-31,$7
