National Health Investors Quarterly Net Income (Millions of US $),National Health Investors Quarterly Net Income (Millions of US $).1
2024-06-30,$35
2024-03-31,$31
2023-12-31,$32
2023-09-30,$29
2023-06-30,$40
2023-03-31,$34
2022-12-31,$2
2022-09-30,$34
2022-06-30,$22
2022-03-31,$8
2021-12-31,$6
2021-09-30,$31
2021-06-30,$39
2021-03-31,$35
2020-12-31,$37
2020-09-30,$43
2020-06-30,$44
2020-03-31,$61
2019-12-31,$42
2019-09-30,$43
2019-06-30,$40
2019-03-31,$36
2018-12-31,$37
2018-09-30,$41
2018-06-30,$38
2018-03-31,$38
2017-12-31,$38
2017-09-30,$39
2017-06-30,$38
2017-03-31,$44
2016-12-31,$41
2016-09-30,$33
2016-06-30,$45
2016-03-31,$33
2015-12-31,$54
2015-09-30,$34
2015-06-30,$31
2015-03-31,$30
2014-12-31,$28
2014-09-30,$25
2014-06-30,$25
2014-03-31,$24
2013-12-31,$28
2013-09-30,$43
2013-06-30,$20
2013-03-31,$16
2012-12-31,$41
2012-09-30,$14
2012-06-30,$17
2012-03-31,$18
2011-12-31,$18
2011-09-30,$19
2011-06-30,$25
2011-03-31,$19
2010-12-31,$17
2010-09-30,$17
2010-06-30,$19
2010-03-31,$16
2009-12-31,$16
2009-09-30,$17
2009-06-30,$15
2009-03-31,$15
