HCA Healthcare Quarterly Net Income (Millions of US $),HCA Healthcare Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,461"
2024-03-31,"$1,591"
2023-12-31,"$1,607"
2023-09-30,"$1,079"
2023-06-30,"$1,193"
2023-03-31,"$1,363"
2022-12-31,"$2,081"
2022-09-30,"$1,134"
2022-06-30,"$1,155"
2022-03-31,"$1,273"
2021-12-31,"$1,814"
2021-09-30,"$2,269"
2021-06-30,"$1,450"
2021-03-31,"$1,423"
2020-12-31,"$1,426"
2020-09-30,$668
2020-06-30,"$1,079"
2020-03-31,$581
2019-12-31,"$1,071"
2019-09-30,$612
2019-06-30,$783
2019-03-31,"$1,039"
2018-12-31,"$1,064"
2018-09-30,$759
2018-06-30,$820
2018-03-31,"$1,144"
2017-12-31,$474
2017-09-30,$426
2017-06-30,$657
2017-03-31,$659
2016-12-31,$920
2016-09-30,$618
2016-06-30,$658
2016-03-31,$694
2015-12-31,$582
2015-09-30,$449
2015-06-30,$507
2015-03-31,$591
2014-12-31,$527
2014-09-30,$518
2014-06-30,$483
2014-03-31,$347
2013-12-31,$424
2013-09-30,$365
2013-06-30,$423
2013-03-31,$344
2012-12-31,$314
2012-09-30,$360
2012-06-30,$391
2012-03-31,$540
2011-12-31,"$1,935"
2011-09-30,$61
2011-06-30,$229
2011-03-31,$240
2010-12-31,$283
2010-09-30,$243
2010-06-30,$293
2010-03-31,$388
2009-12-31,$216
2009-09-30,$196
2009-06-30,$282
2009-03-31,$360
