Medical Properties Trust Quarterly Net Income (Millions of US $),Medical Properties Trust Quarterly Net Income (Millions of US $).1
2024-06-30,$-321
2024-03-31,$-876
2023-12-31,$-664
2023-09-30,$117
2023-06-30,$-42
2023-03-31,$33
2022-12-31,$-140
2022-09-30,$222
2022-06-30,$190
2022-03-31,$632
2021-12-31,$207
2021-09-30,$171
2021-06-30,$115
2021-03-31,$164
2020-12-31,$110
2020-09-30,$131
2020-06-30,$109
2020-03-31,$81
2019-12-31,$130
2019-09-30,$90
2019-06-30,$79
2019-03-31,$76
2018-12-31,$78
2018-09-30,$736
2018-06-30,$112
2018-03-31,$91
2017-12-31,$72
2017-09-30,$76
2017-06-30,$73
2017-03-31,$68
2016-12-31,$43
2016-09-30,$70
2016-06-30,$54
2016-03-31,$58
2015-12-31,$58
2015-09-30,$23
2015-06-30,$22
2015-03-31,$36
2014-12-31,$15
2014-09-30,$29
2014-06-30,$-0
2014-03-31,$7
2013-12-31,$18
2013-09-30,$26
2013-06-30,$27
2013-03-31,$26
2012-12-31,$29
2012-09-30,$31
2012-06-30,$19
2012-03-31,$11
2011-12-31,$13
2011-09-30,$0
2011-06-30,$3
2011-03-31,$11
2010-12-31,$11
2010-09-30,$9
2010-06-30,$6
2010-03-31,$-3
2009-12-31,$7
2009-09-30,$10
2009-06-30,$8
2009-03-31,$11
