Blueprint Medicines Quarterly Net Income (Millions of US $),Blueprint Medicines Quarterly Net Income (Millions of US $).1
2024-06-30,$-50
2024-03-31,$89
2023-12-31,$-111
2023-09-30,$-134
2023-06-30,$-133
2023-03-31,$-130
2022-12-31,$-159
2022-09-30,$-133
2022-06-30,$-160
2022-03-31,$-106
2021-12-31,$-319
2021-09-30,$-117
2021-06-30,$-108
2021-03-31,$-100
2020-12-31,$-86
2020-09-30,$634
2020-06-30,$-123
2020-03-31,$-111
2019-12-31,$-66
2019-09-30,$-94
2019-06-30,$-100
2019-03-31,$-87
2018-12-31,$-80
2018-09-30,$-73
2018-06-30,$-27
2018-03-31,$-57
2017-12-31,$-49
2017-09-30,$-38
2017-06-30,$-33
2017-03-31,$-28
2016-12-31,$-21
2016-09-30,$-17
2016-06-30,$-19
2016-03-31,$-16
2015-12-31,$-16
2015-09-30,$-13
2015-06-30,$-14
2015-03-31,$-14
2014-12-31,$-14
2014-09-30,$-12
2014-06-30,$-10
2014-03-31,$-8
2013-12-31,
