Spyre Therapeutics Quarterly Net Income (Millions of US $),Spyre Therapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$-39
2024-03-31,$-44
2023-12-31,$-63
2023-09-30,$-40
2023-06-30,$-217
2023-03-31,$-18
2022-12-31,$-19
2022-09-30,$-18
2022-06-30,$-22
2022-03-31,$-24
2021-12-31,$-20
2021-09-30,$-20
2021-06-30,$-7
2021-03-31,$-18
2020-12-31,$-23
2020-09-30,$-18
2020-06-30,$-21
2020-03-31,$-19
2019-12-31,$-21
2019-09-30,$-22
2019-06-30,$-18
2019-03-31,$-17
2018-12-31,$-15
2018-09-30,$-12
2018-06-30,$-9
2018-03-31,$-8
2017-12-31,$-6
2017-09-30,$-8
2017-06-30,$-7
2017-03-31,$-6
2016-12-31,$-5
2016-09-30,$-6
2016-06-30,$-5
2016-03-31,$-5
2015-12-31,$-4
2015-09-30,$-3
2015-06-30,$-1
2015-03-31,$-3
2014-12-31,
