Agios Pharmaceuticals Quarterly Net Income (Millions of US $),Agios Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-06-30,$-96
2024-03-31,$-82
2023-12-31,$-96
2023-09-30,$-91
2023-06-30,$-84
2023-03-31,$-81
2022-12-31,$37
2022-09-30,$-82
2022-06-30,$-92
2022-03-31,$-95
2021-12-31,$-95
2021-09-30,$-89
2021-06-30,$-86
2021-03-31,"$1,874"
2020-12-31,$-98
2020-09-30,$-99
2020-06-30,$-90
2020-03-31,$-40
2019-12-31,$-102
2019-09-30,$-106
2019-06-30,$-110
2019-03-31,$-93
2018-12-31,$-92
2018-09-30,$-95
2018-06-30,$-69
2018-03-31,$-91
2017-12-31,$-88
2017-09-30,$-77
2017-06-30,$-83
2017-03-31,$-66
2016-12-31,$-56
2016-09-30,$-63
2016-06-30,$-56
2016-03-31,$-23
2015-12-31,$-41
2015-09-30,$-40
2015-06-30,$-32
2015-03-31,$-5
2014-12-31,$-27
2014-09-30,$4
2014-06-30,$-18
2014-03-31,$-12
2013-12-31,$-12
2013-09-30,$-12
2013-06-30,$-10
2013-03-31,$-9
2012-12-31,
2012-09-30,$-3
2012-06-30,$-7
2011-12-31,
