Integra LifeSciences Holdings Quarterly Net Income (Millions of US $),Integra LifeSciences Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$-12
2024-03-31,$-3
2023-12-31,$20
2023-09-30,$19
2023-06-30,$4
2023-03-31,$24
2022-12-31,$53
2022-09-30,$50
2022-06-30,$45
2022-03-31,$33
2021-12-31,$45
2021-09-30,$43
2021-06-30,$35
2021-03-31,$45
2020-12-31,$93
2020-09-30,$32
2020-06-30,$-0
2020-03-31,$9
2019-12-31,$15
2019-09-30,$-28
2019-06-30,$30
2019-03-31,$33
2018-12-31,$25
2018-09-30,$13
2018-06-30,$11
2018-03-31,$11
2017-12-31,$44
2017-09-30,$3
2017-06-30,$11
2017-03-31,$6
2016-12-31,$28
2016-09-30,$20
2016-06-30,$13
2016-03-31,$13
2015-12-31,$15
2015-09-30,$-32
2015-06-30,$5
2015-03-31,$8
2014-12-31,$17
2014-09-30,$10
2014-06-30,$5
2014-03-31,$2
2013-12-31,$14
2013-09-30,$-30
2013-06-30,$2
2013-03-31,$-6
2012-12-31,$13
2012-09-30,$13
2012-06-30,$9
2012-03-31,$7
2011-12-31,$5
2011-09-30,$11
2011-06-30,$1
2011-03-31,$11
2010-12-31,$19
2010-09-30,$16
2010-06-30,$15
2010-03-31,$15
2009-12-31,$16
2009-09-30,$14
2009-06-30,$11
2009-03-31,$10
