AdaptHealth Quarterly Net Income (Millions of US $),AdaptHealth Quarterly Net Income (Millions of US $).1
2024-06-30,$19
2024-03-31,$-2
2023-12-31,$-255
2023-09-30,$-454
2023-06-30,$14
2023-03-31,$16
2022-12-31,$-8
2022-09-30,$16
2022-06-30,$14
2022-03-31,$42
2021-12-31,$9
2021-09-30,$58
2021-06-30,$79
2021-03-31,$-4
2020-12-31,$-81
2020-09-30,$-51
2020-06-30,$4
2020-03-31,$-35
2019-12-31,$-10
2019-09-30,$-4
2019-06-30,$-2
2019-03-31,$-6
2018-12-31,$22
2018-09-30,$1
2018-06-30,$1
2018-03-31,$0
2017-12-31,
