Quest Diagnostics Quarterly Net Income (Millions of US $),Quest Diagnostics Quarterly Net Income (Millions of US $).1
2024-06-30,$229
2024-03-31,$194
2023-12-31,$188
2023-09-30,$225
2023-06-30,$235
2023-03-31,$202
2022-12-31,$98
2022-09-30,$256
2022-06-30,$233
2022-03-31,$355
2021-12-31,$383
2021-09-30,$505
2021-06-30,$631
2021-03-31,$469
2020-12-31,$573
2020-09-30,$568
2020-06-30,$185
2020-03-31,$99
2019-12-31,$253
2019-09-30,$215
2019-06-30,$226
2019-03-31,$164
2018-12-31,$127
2018-09-30,$213
2018-06-30,$219
2018-03-31,$177
2017-12-31,$254
2017-09-30,$161
2017-06-30,$193
2017-03-31,$164
2016-12-31,$152
2016-09-30,$192
2016-06-30,$195
2016-03-31,$103
2015-12-31,$185
2015-09-30,$342
2015-06-30,$118
2015-03-31,$61
2014-12-31,$190
2014-09-30,$129
2014-06-30,$133
2014-03-31,$104
2013-12-31,$143
2013-09-30,$405
2013-06-30,$165
2013-03-31,$136
2012-12-31,$56
2012-09-30,$163
2012-06-30,$178
2012-03-31,$159
2011-12-31,$190
2011-09-30,$172
2011-06-30,$163
2011-03-31,$-54
2010-12-31,$166
2010-09-30,$198
2010-06-30,$195
2010-03-31,$162
2009-12-31,$182
2009-09-30,$192
2009-06-30,$188
2009-03-31,$167
