AAR Quarterly Net Income (Millions of US $),AAR Quarterly Net Income (Millions of US $).1
2024-08-31,$18
2024-05-31,$9
2024-02-29,$14
2023-11-30,$24
2023-08-31,$-1
2023-05-31,$22
2023-02-28,$22
2022-11-30,$23
2022-08-31,$23
2022-05-31,$24
2022-02-28,$22
2021-11-30,$21
2021-08-31,$12
2021-05-31,$14
2021-02-28,$28
2020-11-30,$8
2020-08-31,$-15
2020-05-31,$-17
2020-02-29,$2
2019-11-30,$14
2019-08-31,$4
2019-05-31,$23
2019-02-28,$-37
2018-11-30,$7
2018-08-31,$15
2018-05-31,$12
2018-02-28,$16
2017-11-30,$-23
2017-08-31,$11
2017-05-31,$21
2017-02-28,$14
2016-11-30,$12
2016-08-31,$10
2016-05-31,$12
2016-02-29,$5
2015-11-30,$8
2015-08-31,$23
2015-05-31,$15
2015-02-28,$-35
2014-11-30,$15
2014-08-31,$14
2014-05-31,$16
2014-02-28,$18
2013-11-30,$20
2013-08-31,$18
2013-05-31,$3
2013-02-28,$18
2012-11-30,$17
2012-08-31,$18
2012-05-31,$13
2012-02-29,$20
2011-11-30,$17
2011-08-31,$16
2011-05-31,$19
2011-02-28,$18
2010-11-30,$17
2010-08-31,$14
2010-05-31,$11
2010-02-28,$10
2009-11-30,$13
2009-08-31,$10
2009-05-31,$14
2009-02-28,$17
