Safety Insurance Quarterly Net Income (Millions of US $),Safety Insurance Quarterly Net Income (Millions of US $).1
2024-06-30,$17
2024-03-31,$20
2023-12-31,$12
2023-09-30,$2
2023-06-30,$17
2023-03-31,$-12
2022-12-31,$25
2022-09-30,$6
2022-06-30,$8
2022-03-31,$8
2021-12-31,$32
2021-09-30,$25
2021-06-30,$38
2021-03-31,$36
2020-12-31,$53
2020-09-30,$45
2020-06-30,$42
2020-03-31,$-2
2019-12-31,$28
2019-09-30,$16
2019-06-30,$26
2019-03-31,$30
2018-12-31,$18
2018-09-30,$29
2018-06-30,$27
2018-03-31,$9
2017-12-31,$12
2017-09-30,$18
2017-06-30,$21
2017-03-31,$12
2016-12-31,$12
2016-09-30,$18
2016-06-30,$21
2016-03-31,$13
2015-12-31,$10
2015-09-30,$12
2015-06-30,$-1
2015-03-31,$-35
2014-12-31,$11
2014-09-30,$15
2014-06-30,$21
2014-03-31,$12
2013-12-31,$12
2013-09-30,$18
2013-06-30,$18
2013-03-31,$14
2012-12-31,$10
2012-09-30,$14
2012-06-30,$17
2012-03-31,$17
2011-12-31,$5
2011-09-30,$9
2011-06-30,$4
2011-03-31,$-4
2010-12-31,$13
2010-09-30,$15
2010-06-30,$15
2010-03-31,$13
2009-12-31,$10
2009-09-30,$17
2009-06-30,$15
2009-03-31,$12
