Tenet Healthcare Quarterly Net Income (Millions of US $),Tenet Healthcare Quarterly Net Income (Millions of US $).1
2024-06-30,$259
2024-03-31,"$2,151"
2023-12-31,$244
2023-09-30,$101
2023-06-30,$123
2023-03-31,$143
2022-12-31,$102
2022-09-30,$131
2022-06-30,$38
2022-03-31,$140
2021-12-31,$249
2021-09-30,$449
2021-06-30,$119
2021-03-31,$97
2020-12-31,$414
2020-09-30,$-196
2020-06-30,$88
2020-03-31,$93
2019-12-31,$-3
2019-09-30,$-226
2019-06-30,$26
2019-03-31,$-12
2018-12-31,$-12
2018-09-30,$-9
2018-06-30,$26
2018-03-31,$99
2017-12-31,$-229
2017-09-30,$-367
2017-06-30,$-55
2017-03-31,$-53
2016-12-31,$-79
2016-09-30,$-8
2016-06-30,$-46
2016-03-31,$-59
2015-12-31,$-97
2015-09-30,$-29
2015-06-30,$-61
2015-03-31,$47
2014-12-31,$61
2014-09-30,$9
2014-06-30,$-26
2014-03-31,$-32
2013-12-31,$-24
2013-09-30,$28
2013-06-30,$-50
2013-03-31,$-88
2012-12-31,$49
2012-09-30,$40
2012-06-30,$-6
2012-03-31,$58
2011-12-31,$-76
2011-09-30,$6
2011-06-30,$55
2011-03-31,$73
2010-12-31,$74
2010-09-30,$932
2010-06-30,$25
2010-03-31,$88
2009-12-31,$21
2009-09-30,$-3
2009-06-30,$-15
2009-03-31,$178
