QIAGEN Quarterly Net Income (Millions of US $),QIAGEN Quarterly Net Income (Millions of US $).1
2024-06-30,$-183
2024-03-31,$81
2023-12-31,$98
2023-09-30,$78
2023-06-30,$81
2023-03-31,$85
2022-12-31,$89
2022-09-30,$82
2022-06-30,$97
2022-03-31,$155
2021-12-31,$129
2021-09-30,$133
2021-06-30,$121
2021-03-31,$129
2020-12-31,$213
2020-09-30,$17
2020-06-30,$90
2020-03-31,$40
2019-12-31,$45
2019-09-30,$-161
2019-06-30,$45
2019-03-31,$30
2018-12-31,$61
2018-09-30,$60
2018-06-30,$37
2018-03-31,$32
2017-12-31,$-40
2017-09-30,$48
2017-06-30,$14
2017-03-31,$18
2016-12-31,$9
2016-09-30,$35
2016-06-30,$21
2016-03-31,$16
2015-12-31,$52
2015-09-30,$34
2015-06-30,$25
2015-03-31,$19
2014-12-31,$26
2014-09-30,$35
2014-06-30,$33
2014-03-31,$23
2013-12-31,$60
2013-09-30,$41
2013-06-30,$-52
2013-03-31,$20
2012-12-31,$38
2012-09-30,$29
2012-06-30,$33
2012-03-31,$29
2011-12-31,$-0
2011-09-30,$35
2011-06-30,$33
2011-03-31,$28
2010-12-31,$36
2010-09-30,$36
2010-06-30,$39
2010-03-31,$33
2009-12-31,$44
2009-09-30,$38
2009-06-30,$31
2009-03-31,$25
