Lyft Quarterly Net Income (Millions of US $),Lyft Quarterly Net Income (Millions of US $).1
2024-06-30,$5
2024-03-31,$-32
2023-12-31,$-26
2023-09-30,$-12
2023-06-30,$-114
2023-03-31,$-188
2022-12-31,$-588
2022-09-30,$-422
2022-06-30,$-377
2022-03-31,$-197
2021-12-31,$-283
2021-09-30,$-100
2021-06-30,$-252
2021-03-31,$-427
2020-12-31,$-458
2020-09-30,$-460
2020-06-30,$-437
2020-03-31,$-398
2019-12-31,$-356
2019-09-30,$-463
2019-06-30,$-644
2019-03-31,"$-1,138"
2018-12-31,$-249
2018-09-30,$-249
2018-06-30,$-179
2018-03-31,$-234
2017-12-31,
2016-12-31,
