Syndax Pharmaceuticals Quarterly Net Income (Millions of US $),Syndax Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-06-30,$-68
2024-03-31,$-72
2023-12-31,$-72
2023-09-30,$-51
2023-06-30,$-45
2023-03-31,$-41
2022-12-31,$-39
2022-09-30,$-35
2022-06-30,$-38
2022-03-31,$-37
2021-12-31,$96
2021-09-30,$-21
2021-06-30,$-23
2021-03-31,$-28
2020-12-31,$-20
2020-09-30,$-21
2020-06-30,$-17
2020-03-31,$-19
2019-12-31,$-14
2019-09-30,$-13
2019-06-30,$-15
2019-03-31,$-14
2018-12-31,$-19
2018-09-30,$-17
2018-06-30,$-18
2018-03-31,$-19
2017-12-31,$-19
2017-09-30,$-15
2017-06-30,$-14
2017-03-31,$-13
2016-12-31,$-11
2016-09-30,$-15
2016-06-30,$-8
2016-03-31,$-13
2015-12-31,$-5
2015-09-30,$-57
2015-06-30,$-6
2015-03-31,$-5
2014-12-31,
