Ringcentral Quarterly Net Income (Millions of US $),Ringcentral Quarterly Net Income (Millions of US $).1
2024-06-30,$-15
2024-03-31,$-28
2023-12-31,$-47
2023-09-30,$-42
2023-06-30,$-21
2023-03-31,$-54
2022-12-31,$-284
2022-09-30,$-285
2022-06-30,$-160
2022-03-31,$-151
2021-12-31,$-118
2021-09-30,$-147
2021-06-30,$-111
2021-03-31,$-0
2020-12-31,$-2
2020-09-30,$-21
2020-06-30,$1
2020-03-31,$-61
2019-12-31,$-25
2019-09-30,$-13
2019-06-30,$-9
2019-03-31,$-6
2018-12-31,$-6
2018-09-30,$-10
2018-06-30,$-8
2018-03-31,$-3
2017-12-31,$-0
2017-09-30,$0
2017-06-30,$-2
2017-03-31,$-2
2016-12-31,$6
2016-09-30,$-8
2016-06-30,$-8
2016-03-31,$-7
2015-12-31,$-7
2015-09-30,$-6
2015-06-30,$-8
2015-03-31,$-11
2014-12-31,$-10
2014-09-30,$-12
2014-06-30,$-13
2014-03-31,$-13
2013-12-31,$-13
2013-09-30,$-9
2013-06-30,$-14
2013-03-31,$-10
2012-12-31,
2012-09-30,$-10
2011-12-31,
2010-12-31,
