Rocket Pharmaceuticals Quarterly Net Income (Millions of US $),Rocket Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-06-30,$-70
2024-03-31,$-62
2023-12-31,$-60
2023-09-30,$-62
2023-06-30,$-66
2023-03-31,$-58
2022-12-31,$-67
2022-09-30,$-58
2022-06-30,$-54
2022-03-31,$-43
2021-12-31,$-44
2021-09-30,$-50
2021-06-30,$-35
2021-03-31,$-40
2020-12-31,$-61
2020-09-30,$-29
2020-06-30,$-25
2020-03-31,$-25
2019-12-31,$-20
2019-09-30,$-19
2019-06-30,$-19
2019-03-31,$-19
2018-12-31,$-27
2018-09-30,$-16
2018-06-30,$-16
2018-03-31,$-15
2017-12-31,$-7
2017-09-30,$-7
2017-06-30,$-3
2017-03-31,$-3
2016-12-31,$22
2016-09-30,$-11
2016-06-30,$-9
2016-03-31,$-10
2015-12-31,$-8
2015-09-30,$-56
2015-06-30,$-2
2015-03-31,$-2
2014-12-31,$-2
2014-09-30,$-3
2014-06-30,$-4
2014-03-31,$-3
2013-12-31,
2012-12-31,
