Federal Agricultural Mortgage Quarterly Net Income (Millions of US $),Federal Agricultural Mortgage Quarterly Net Income (Millions of US $).1
2024-06-30,$40
2024-03-31,$47
2023-12-31,$41
2023-09-30,$51
2023-06-30,$40
2023-03-31,$40
2022-12-31,$37
2022-09-30,$35
2022-06-30,$35
2022-03-31,$45
2021-12-31,$29
2021-09-30,$29
2021-06-30,$25
2021-03-31,$28
2020-12-31,$35
2020-09-30,$19
2020-06-30,$32
2020-03-31,$9
2019-12-31,$29
2019-09-30,$14
2019-06-30,$28
2019-03-31,$22
2018-12-31,$20
2018-09-30,$26
2018-06-30,$26
2018-03-31,$23
2017-12-31,$17
2017-09-30,$18
2017-06-30,$17
2017-03-31,$19
2016-12-31,$25
2016-09-30,$16
2016-06-30,$12
2016-03-31,$10
2015-12-31,$15
2015-09-30,$8
2015-06-30,$22
2015-03-31,$2
2014-12-31,$6
2014-09-30,$12
2014-06-30,$20
2014-03-31,$1
2013-12-31,$12
2013-09-30,$15
2013-06-30,$28
2013-03-31,$16
2012-12-31,$10
2012-09-30,$16
2012-06-30,$-4
2012-03-31,$22
2011-12-31,$13
2011-09-30,$-23
2011-06-30,$5
2011-03-31,$18
2010-12-31,$12
2010-09-30,$6
2010-06-30,$2
2010-03-31,$2
2009-12-31,$5
2009-09-30,$18
2009-06-30,$25
2009-03-31,$34
