Insmed Quarterly Net Income (Millions of US $),Insmed Quarterly Net Income (Millions of US $).1
2024-06-30,$-301
2024-03-31,$-157
2023-12-31,$-186
2023-09-30,$-159
2023-06-30,$-245
2023-03-31,$-160
2022-12-31,$-160
2022-09-30,$-131
2022-06-30,$-96
2022-03-31,$-95
2021-12-31,$-113
2021-09-30,$-113
2021-06-30,$-117
2021-03-31,$-92
2020-12-31,$-102
2020-09-30,$-64
2020-06-30,$-62
2020-03-31,$-66
2019-12-31,$-53
2019-09-30,$-61
2019-06-30,$-67
2019-03-31,$-74
2018-12-31,$-92
2018-09-30,$-88
2018-06-30,$-76
2018-03-31,$-69
2017-12-31,$-65
2017-09-30,$-45
2017-06-30,$-45
2017-03-31,$-37
2016-12-31,$-68
2016-09-30,$-38
2016-06-30,$-37
2016-03-31,$-34
2015-12-31,$-31
2015-09-30,$-31
2015-06-30,$-29
2015-03-31,$-27
2014-12-31,$-18
2014-09-30,$-24
2014-06-30,$-23
2014-03-31,$-14
2013-12-31,$-16
2013-09-30,$-17
2013-06-30,$-9
2013-03-31,$-14
2012-12-31,$-15
2012-09-30,$-9
2012-06-30,$-10
2012-03-31,$-7
2011-12-31,$-8
2011-09-30,$-35
2011-06-30,$-10
2011-03-31,$-16
2010-12-31,$-6
2010-09-30,$-0
2010-06-30,$-0
2010-03-31,$0
2009-12-31,$2
2009-09-30,$-0
2009-06-30,$-2
2009-03-31,$118
