Astrana Health Quarterly Net Income (Millions of US $),Astrana Health Quarterly Net Income (Millions of US $).1
2024-06-30,$19
2024-03-31,$15
2023-12-31,$12
2023-09-30,$22
2023-06-30,$13
2023-03-31,$13
2022-12-31,$-4
2022-09-30,$23
2022-06-30,$12
2022-03-31,$14
2021-12-31,$9
2021-09-30,$34
2021-06-30,$13
2021-03-31,$13
2020-12-31,$10
2020-09-30,$17
2020-06-30,$7
2020-03-31,$4
2019-12-31,$7
2019-09-30,$4
2019-06-30,$4
2019-03-31,$0
2018-12-31,$-3
2018-09-30,$9
2018-06-30,$3
2018-03-31,$2
2017-12-31,$27
2017-09-30,$6
2017-06-30,$2
2017-03-31,$4
2016-12-31,
2016-03-31,
2015-03-31,
