Bread Financial Holdings Quarterly Net Income (Millions of US $),Bread Financial Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$133
2024-03-31,$134
2023-12-31,$44
2023-09-30,$171
2023-06-30,$48
2023-03-31,$455
2022-12-31,$-133
2022-09-30,$134
2022-06-30,$12
2022-03-31,$210
2021-12-31,$17
2021-09-30,$224
2021-06-30,$274
2021-03-31,$286
2020-12-31,$12
2020-09-30,$133
2020-06-30,$38
2020-03-31,$30
2019-12-31,$89
2019-09-30,$-109
2019-06-30,$139
2019-03-31,$149
2018-12-31,$285
2018-09-30,$297
2018-06-30,$218
2018-03-31,$164
2017-12-31,$271
2017-09-30,$233
2017-06-30,$138
2017-03-31,$146
2016-12-31,$94
2016-09-30,$208
2016-06-30,$73
2016-03-31,$141
2015-12-31,$129
2015-09-30,$128
2015-06-30,$131
2015-03-31,$163
2014-12-31,$53
2014-09-30,$164
2014-06-30,$137
2014-03-31,$137
2013-12-31,$118
2013-09-30,$133
2013-06-30,$116
2013-03-31,$129
2012-12-31,$84
2012-09-30,$120
2012-06-30,$104
2012-03-31,$115
2011-12-31,$66
2011-09-30,$94
2011-06-30,$69
2011-03-31,$86
2010-12-31,$47
2010-09-30,$53
2010-06-30,$47
2010-03-31,$47
2009-12-31,$41
2009-09-30,$46
2009-06-30,$29
2009-03-31,$28
