Kiniksa Pharmaceuticals Quarterly Net Income (Millions of US $),Kiniksa Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-06-30,$-4
2024-03-31,$-18
2023-12-31,$25
2023-09-30,$-14
2023-06-30,$15
2023-03-31,$-12
2022-12-31,$4
2022-09-30,$224
2022-06-30,$-20
2022-03-31,$-25
2021-12-31,$-36
2021-09-30,$-31
2021-06-30,$-42
2021-03-31,$-49
2020-12-31,$-54
2020-09-30,$-44
2020-06-30,$-37
2020-03-31,$-26
2019-12-31,$-32
2019-09-30,$-27
2019-06-30,$-37
2019-03-31,$-66
2018-12-31,$-43
2018-09-30,$-24
2018-06-30,$-20
2018-03-31,$-16
2017-12-31,
2017-09-30,$-16
2017-06-30,$-11
2016-12-31,
