Hanover Insurance Quarterly Net Income (Millions of US $),Hanover Insurance Quarterly Net Income (Millions of US $).1
2024-06-30,$41
2024-03-31,$116
2023-12-31,$108
2023-09-30,$9
2023-06-30,$-69
2023-03-31,$-12
2022-12-31,$-12
2022-09-30,$1
2022-06-30,$23
2022-03-31,$105
2021-12-31,$168
2021-09-30,$34
2021-06-30,$129
2021-03-31,$93
2020-12-31,$165
2020-09-30,$119
2020-06-30,$115
2020-03-31,$-40
2019-12-31,$110
2019-09-30,$119
2019-06-30,$74
2019-03-31,$122
2018-12-31,$124
2018-09-30,$100
2018-06-30,$99
2018-03-31,$68
2017-12-31,$52
2017-09-30,$11
2017-06-30,$78
2017-03-31,$45
2016-12-31,$-14
2016-09-30,$88
2016-06-30,$2
2016-03-31,$78
2015-12-31,$78
2015-09-30,$78
2015-06-30,$121
2015-03-31,$55
2014-12-31,$90
2014-09-30,$55
2014-06-30,$83
2014-03-31,$55
2013-12-31,$70
2013-09-30,$61
2013-06-30,$53
2013-03-31,$66
2012-12-31,$-55
2012-09-30,$40
2012-06-30,$21
2012-03-31,$50
2011-12-31,$50
2011-09-30,$-10
2011-06-30,$-32
2011-03-31,$29
2010-12-31,$55
2010-09-30,$52
2010-06-30,$2
2010-03-31,$42
2009-12-31,$57
2009-09-30,$50
2009-06-30,$64
2009-03-31,$26
