Viridian Therapeutics Quarterly Net Income (Millions of US $),Viridian Therapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$-65
2024-03-31,$-49
2023-12-31,$-67
2023-09-30,$-48
2023-06-30,$-55
2023-03-31,$-68
2022-12-31,$-46
2022-09-30,$-29
2022-06-30,$-29
2022-03-31,$-26
2021-12-31,$-29
2021-09-30,$-14
2021-06-30,$-18
2021-03-31,$-18
2020-12-31,$-91
2020-09-30,$-5
2020-06-30,$-6
2020-03-31,$-8
2019-12-31,$-10
2019-09-30,$-11
2019-06-30,$-9
2019-03-31,$-12
2018-12-31,$-10
2018-09-30,$-9
2018-06-30,$-9
2018-03-31,$-5
2017-12-31,$-6
2017-09-30,$-6
2017-06-30,$-7
2017-03-31,$-7
2016-12-31,$-6
2016-09-30,$-4
2016-06-30,$-4
2016-03-31,$-4
2015-12-31,$-3
2015-09-30,$-3
2015-06-30,$-3
2015-03-31,$-3
2014-12-31,$-2
2014-09-30,$-2
2014-06-30,$-3
2014-03-31,$-1
2013-12-31,$-0
2013-09-30,$-1
2013-06-30,$-1
2013-03-31,$-1
