Protagonist Therapeutics Quarterly Net Income (Millions of US $),Protagonist Therapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$-31
2024-03-31,$207
2023-12-31,$27
2023-09-30,$-34
2023-06-30,$-38
2023-03-31,$-34
2022-12-31,$-34
2022-09-30,$-31
2022-06-30,$-41
2022-03-31,$-21
2021-12-31,$-37
2021-09-30,$-34
2021-06-30,$-31
2021-03-31,$-24
2020-12-31,$-19
2020-09-30,$-8
2020-06-30,$-19
2020-03-31,$-20
2019-12-31,$-18
2019-09-30,$-16
2019-06-30,$-29
2019-03-31,$-14
2018-12-31,$-14
2018-09-30,$-9
2018-06-30,$-9
2018-03-31,$-8
2017-12-31,$-3
2017-09-30,$-5
2017-06-30,$-15
2017-03-31,$-14
2016-12-31,$-11
2016-09-30,$-7
2016-06-30,$-7
2016-03-31,$-12
2015-12-31,
2015-09-30,$-3
2015-06-30,$-3
2014-12-31,
