Travere Therapeutics Quarterly Net Income (Millions of US $),Travere Therapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$-70
2024-03-31,$-136
2023-12-31,$-90
2023-09-30,$151
2023-06-30,$-86
2023-03-31,$-86
2022-12-31,$-66
2022-09-30,$-70
2022-06-30,$-67
2022-03-31,$-76
2021-12-31,$-52
2021-09-30,$-36
2021-06-30,$-39
2021-03-31,$-54
2020-12-31,$-122
2020-09-30,$-23
2020-06-30,$-26
2020-03-31,$1
2019-12-31,$-30
2019-09-30,$-36
2019-06-30,$-39
2019-03-31,$-41
2018-12-31,$-7
2018-09-30,$-55
2018-06-30,$-22
2018-03-31,$-18
2017-12-31,$-18
2017-09-30,$-18
2017-06-30,$-13
2017-03-31,$-11
2016-12-31,$-9
2016-09-30,$-37
2016-06-30,$-13
2016-03-31,$11
2015-12-31,$-2
2015-09-30,$106
2015-06-30,$-26
2015-03-31,$40
2014-12-31,$-29
2014-09-30,$-18
2014-06-30,$12
2014-03-31,$-76
2013-12-31,$-14
2013-09-30,$-11
2013-06-30,$-5
2013-03-31,$-5
2012-12-31,$-27
2012-11-30,$-0
2012-09-30,$-8
2012-08-31,$-0
2012-06-30,$-5
2012-05-31,$-0
2012-03-31,$-4
2012-02-29,
2011-12-31,$-3
2011-11-30,$-0
2011-09-30,$-0
2011-08-31,$-0
2011-06-30,$-0
2011-05-31,$-0
