Intel Quarterly Net Income (Millions of US $),Intel Quarterly Net Income (Millions of US $).1
2024-06-30,"$-1,610"
2024-03-31,$-381
2023-12-31,"$2,669"
2023-09-30,$297
2023-06-30,"$1,481"
2023-03-31,"$-2,758"
2022-12-31,$-664
2022-09-30,"$1,019"
2022-06-30,$-454
2022-03-31,"$8,113"
2021-12-31,"$4,623"
2021-09-30,"$6,823"
2021-06-30,"$5,061"
2021-03-31,"$3,361"
2020-12-31,"$5,857"
2020-09-30,"$4,276"
2020-06-30,"$5,105"
2020-03-31,"$5,661"
2019-12-31,"$6,905"
2019-09-30,"$5,990"
2019-06-30,"$4,179"
2019-03-31,"$3,974"
2018-12-31,"$5,195"
2018-09-30,"$6,398"
2018-06-30,"$5,006"
2018-03-31,"$4,454"
2017-12-31,$-687
2017-09-30,"$4,516"
2017-06-30,"$2,808"
2017-03-31,"$2,964"
2016-12-31,"$3,562"
2016-09-30,"$3,378"
2016-06-30,"$1,330"
2016-03-31,"$2,046"
2015-12-31,"$3,613"
2015-09-30,"$3,109"
2015-06-30,"$2,706"
2015-03-31,"$1,992"
2014-12-31,"$3,661"
2014-09-30,"$3,317"
2014-06-30,"$2,796"
2014-03-31,"$1,930"
2013-12-31,"$2,625"
2013-09-30,"$2,950"
2013-06-30,"$2,000"
2013-03-31,"$2,045"
2012-12-31,"$2,468"
2012-09-30,"$2,972"
2012-06-30,"$2,827"
2012-03-31,"$2,738"
2011-12-31,"$3,360"
2011-09-30,"$3,468"
2011-06-30,"$2,954"
2011-03-31,"$3,160"
2010-12-31,"$3,180"
2010-09-30,"$2,955"
2010-06-30,"$2,887"
2010-03-31,"$2,442"
2009-12-31,"$2,282"
2009-09-30,"$1,856"
2009-06-30,$-398
2009-03-31,$629
