Jazz Pharmaceuticals Quarterly Net Income (Millions of US $),Jazz Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-06-30,$169
2024-03-31,$-15
2023-12-31,$119
2023-09-30,$147
2023-06-30,$104
2023-03-31,$69
2022-12-31,$-241
2022-09-30,$-20
2022-06-30,$35
2022-03-31,$2
2021-12-31,$-35
2021-09-30,$-53
2021-06-30,$-363
2021-03-31,$122
2020-12-31,$133
2020-09-30,$148
2020-06-30,$115
2020-03-31,$-158
2019-12-31,$74
2019-09-30,$102
2019-06-30,$262
2019-03-31,$85
2018-12-31,$159
2018-09-30,$149
2018-06-30,$92
2018-03-31,$46
2017-12-31,$232
2017-09-30,$64
2017-06-30,$106
2017-03-31,$87
2016-12-31,$117
2016-09-30,$90
2016-06-30,$115
2016-03-31,$76
2015-12-31,$83
2015-09-30,$88
2015-06-30,$88
2015-03-31,$71
2014-12-31,$82
2014-09-30,$26
2014-06-30,$44
2014-03-31,$-93
2013-12-31,$55
2013-09-30,$75
2013-06-30,$42
2013-03-31,$43
2012-12-31,$201
2012-09-30,$33
2012-06-30,$27
2012-03-31,$28
2011-12-31,$37
2011-09-30,$32
2011-06-30,$33
2011-03-31,$22
2010-12-31,$24
2010-09-30,$13
2010-06-30,$-6
2010-03-31,$1
2009-12-31,$6
2009-09-30,$-2
2009-06-30,$2
2009-03-31,$-13
