Ionis Pharmaceuticals Quarterly Net Income (Millions of US $),Ionis Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-06-30,$-66
2024-03-31,$-143
2023-12-31,$-9
2023-09-30,$-147
2023-06-30,$-85
2023-03-31,$-124
2022-12-31,$-52
2022-09-30,$-47
2022-06-30,$-105
2022-03-31,$-65
2021-12-31,$225
2021-09-30,$-82
2021-06-30,$-81
2021-03-31,$-90
2020-12-31,$-355
2020-09-30,$-24
2020-06-30,$-26
2020-03-31,$-40
2019-12-31,$168
2019-09-30,$26
2019-06-30,$-1
2019-03-31,$84
2018-12-31,$320
2018-09-30,$-5
2018-06-30,$-40
2018-03-31,$-1
2017-12-31,$-3
2017-09-30,$-3
2017-06-30,$-3
2017-03-31,$9
2016-12-31,$52
2016-09-30,$7
2016-06-30,$-57
2016-03-31,$-63
2015-12-31,$-71
2015-09-30,$-36
2015-06-30,$36
2015-03-31,$-17
2014-12-31,$31
2014-09-30,$-27
2014-06-30,$-12
2014-03-31,$-31
2013-12-31,$-24
2013-09-30,$-25
2013-06-30,$-10
2013-03-31,$-2
2012-12-31,$-3
2012-09-30,$-38
2012-06-30,$-1
2012-03-31,$-24
2011-12-31,$-20
2011-09-30,$-27
2011-06-30,$-18
2011-03-31,$-20
2010-12-31,$-14
2010-09-30,$-12
2010-06-30,$-25
2010-03-31,$-10
2009-12-31,$-17
2009-09-30,$-12
2009-06-30,$-3
2009-03-31,$186
