Supernus Pharmaceuticals Quarterly Net Income (Millions of US $),Supernus Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-06-30,$20
2024-03-31,$0
2023-12-31,$1
2023-09-30,$-16
2023-06-30,$-1
2023-03-31,$17
2022-12-31,$25
2022-09-30,$2
2022-06-30,$8
2022-03-31,$26
2021-12-31,$2
2021-09-30,$22
2021-06-30,$24
2021-03-31,$6
2020-12-31,$31
2020-09-30,$40
2020-06-30,$35
2020-03-31,$22
2019-12-31,$33
2019-09-30,$29
2019-06-30,$33
2019-03-31,$18
2018-12-31,$26
2018-09-30,$28
2018-06-30,$31
2018-03-31,$26
2017-12-31,$14
2017-09-30,$16
2017-06-30,$17
2017-03-31,$10
2016-12-31,$14
2016-09-30,$62
2016-06-30,$10
2016-03-31,$5
2015-12-31,$7
2015-09-30,$4
2015-06-30,$2
2015-03-31,$1
2014-12-31,$4
2014-09-30,$-2
2014-06-30,$3
2014-03-31,$-16
2013-12-31,$-22
2013-09-30,$-24
2013-06-30,$-27
2013-03-31,$-18
2012-12-31,$-14
2012-09-30,$-13
2012-06-30,$-10
2012-03-31,$-10
2011-12-31,$82
2011-09-30,$-11
2011-06-30,$-8
2011-03-31,$-12
2010-12-31,
