Brookdale Senior Living Quarterly Net Income (Millions of US $),Brookdale Senior Living Quarterly Net Income (Millions of US $).1
2024-06-30,$-38
2024-03-31,$-30
2023-12-31,$-91
2023-09-30,$-49
2023-06-30,$-5
2023-03-31,$-45
2022-12-31,$-26
2022-09-30,$-28
2022-06-30,$-84
2022-03-31,$-100
2021-12-31,$-82
2021-09-30,$174
2021-06-30,$-84
2021-03-31,$-108
2020-12-31,$-44
2020-09-30,$-125
2020-06-30,$-118
2020-03-31,$370
2019-12-31,$-91
2019-09-30,$-78
2019-06-30,$-55
2019-03-31,$-43
2018-12-31,$132
2018-09-30,$-37
2018-06-30,$-165
2018-03-31,$-457
2017-12-31,$15
2017-09-30,$-414
2017-06-30,$-46
2017-03-31,$-126
2016-12-31,$-268
2016-09-30,$-52
2016-06-30,$-35
2016-03-31,$-49
2015-12-31,$-174
2015-09-30,$-68
2015-06-30,$-85
2015-03-31,$-130
2014-12-31,$-107
2014-09-30,$-37
2014-06-30,$-3
2014-03-31,$-2
2013-12-31,$-1
2013-09-30,$-1
2013-06-30,$-5
2013-03-31,$4
2012-12-31,$-25
2012-09-30,$-12
2012-06-30,$-19
2012-03-31,$-11
2011-12-31,$-16
2011-09-30,$-7
2011-06-30,$-34
2011-03-31,$-12
2010-12-31,$-8
2010-09-30,$-17
2010-06-30,$-10
2010-03-31,$-14
2009-12-31,$-21
2009-09-30,$-21
2009-06-30,$-11
2009-03-31,$-14
