Reinsurance Group Of America Quarterly Net Income (Millions of US $),Reinsurance Group Of America Quarterly Net Income (Millions of US $).1
2024-06-30,$203
2024-03-31,$210
2023-12-31,$158
2023-09-30,$287
2023-06-30,$205
2023-03-31,$252
2022-12-31,$291
2022-09-30,$-76
2022-06-30,$105
2022-03-31,$197
2021-12-31,$709
2021-09-30,$-22
2021-06-30,$344
2021-03-31,$139
2020-12-31,$132
2020-09-30,$213
2020-06-30,$158
2020-03-31,$-88
2019-12-31,$235
2019-09-30,$263
2019-06-30,$202
2019-03-31,$170
2018-12-31,$110
2018-09-30,$301
2018-06-30,$204
2018-03-31,$100
2017-12-31,"$1,217"
2017-09-30,$228
2017-06-30,$232
2017-03-31,$146
2016-12-31,$190
2016-09-30,$199
2016-06-30,$236
2016-03-31,$76
2015-12-31,$163
2015-09-30,$84
2015-06-30,$130
2015-03-31,$125
2014-12-31,$191
2014-09-30,$158
2014-06-30,$198
2014-03-31,$137
2013-12-31,$145
2013-09-30,$138
2013-06-30,$-50
2013-03-31,$186
2012-12-31,$223
2012-09-30,$144
2012-06-30,$141
2012-03-31,$123
2011-12-31,$139
2011-09-30,$135
2011-06-30,$124
2011-03-31,$149
2010-12-31,$158
2010-09-30,$128
2010-06-30,$127
2010-03-31,$122
2009-12-31,$112
2009-09-30,$118
2009-06-30,$153
2009-03-31,$23
