Grupo Televisa S.A Quarterly Net Income (Millions of US $),Grupo Televisa S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$-1
2024-03-31,$56
2023-12-31,$-387
2023-09-30,$-54
2023-06-30,$8
2023-03-31,$-42
2022-12-31,$-559
2022-09-30,$55
2022-06-30,$157
2022-03-31,"$2,569"
2021-12-31,$100
2021-09-30,$118
2021-06-30,$109
2021-03-31,$-29
2020-09-30,$152
2020-03-31,$-487
2019-12-31,$125
2019-09-30,$39
2019-06-30,$48
2019-03-31,$28
2018-12-31,$3
2018-09-30,$52
2018-06-30,$222
2018-03-31,$36
2017-12-31,$30
2017-09-30,$65
2017-06-30,$78
2017-03-31,$67
2016-12-31,$31
2016-09-30,$57
2016-06-30,$78
2016-03-31,$33
2015-12-31,$109
2015-09-30,$399
2015-06-30,$87
2015-03-31,$94
2014-12-31,$189
2014-09-30,$-13
2014-06-30,$170
2014-03-31,$65
2013-12-31,$193
2013-09-30,$185
2013-06-30,$147
2013-03-31,$87
2012-12-31,$236
2012-09-30,$217
2012-06-30,$102
2012-03-31,$116
2011-12-31,$159
2011-09-30,$167
2011-06-30,$154
2011-03-31,$72
2010-12-31,$216
2010-09-30,$177
2010-06-30,$144
2010-03-31,$86
2009-12-31,$92
2009-09-30,$155
2009-06-30,$133
2009-03-31,$71
