Radian Group Quarterly Net Income (Millions of US $),Radian Group Quarterly Net Income (Millions of US $).1
2024-06-30,$152
2024-03-31,$152
2023-12-31,$143
2023-09-30,$157
2023-06-30,$146
2023-03-31,$158
2022-12-31,$162
2022-09-30,$198
2022-06-30,$201
2022-03-31,$181
2021-12-31,$193
2021-09-30,$126
2021-06-30,$155
2021-03-31,$126
2020-12-31,$148
2020-09-30,$135
2020-06-30,$-30
2020-03-31,$140
2019-12-31,$161
2019-09-30,$173
2019-06-30,$167
2019-03-31,$171
2018-12-31,$140
2018-09-30,$143
2018-06-30,$209
2018-03-31,$114
2017-12-31,$7
2017-09-30,$65
2017-06-30,$-27
2017-03-31,$76
2016-12-31,$61
2016-09-30,$83
2016-06-30,$98
2016-03-31,$66
2015-12-31,$75
2015-09-30,$70
2015-06-30,$50
2015-03-31,$92
2014-12-31,$428
2014-09-30,$154
2014-06-30,$175
2014-03-31,$203
2013-12-31,$36
2013-09-30,$-13
2013-06-30,$-33
2013-03-31,$-188
2012-12-31,$-177
2012-09-30,$14
2012-06-30,$-119
2012-03-31,$-169
2011-12-31,$-122
2011-09-30,$184
2011-06-30,$137
2011-03-31,$103
2010-12-31,"$-1,133"
2010-09-30,$112
2010-06-30,$-475
2010-03-31,$-310
2009-12-31,$-92
2009-09-30,$-70
2009-06-30,$232
2009-03-31,$-217
