BridgeBio Pharma Quarterly Net Income (Millions of US $),BridgeBio Pharma Quarterly Net Income (Millions of US $).1
2024-06-30,$-73
2024-03-31,$-35
2023-12-31,$-168
2023-09-30,$-177
2023-06-30,$-158
2023-03-31,$-140
2022-12-31,$-138
2022-09-30,$-137
2022-06-30,$-10
2022-03-31,$-196
2021-12-31,$-147
2021-09-30,$-156
2021-06-30,$-96
2021-03-31,$-163
2020-12-31,$-120
2020-09-30,$-116
2020-06-30,$-121
2020-03-31,$-92
2019-12-31,$-73
2019-09-30,$-60
2019-06-30,$-66
2019-03-31,$-61
2018-12-31,
2018-09-30,$-31
2017-12-31,
