Omega Healthcare Investors Quarterly Net Income (Millions of US $),Omega Healthcare Investors Quarterly Net Income (Millions of US $).1
2024-06-30,$114
2024-03-31,$69
2023-12-31,$51
2023-09-30,$94
2023-06-30,$60
2023-03-31,$37
2022-12-31,$35
2022-09-30,$105
2022-06-30,$92
2022-03-31,$195
2021-12-31,$33
2021-09-30,$139
2021-06-30,$85
2021-03-31,$160
2020-12-31,$61
2020-09-30,$-91
2020-06-30,$99
2020-03-31,$90
2019-12-31,$60
2019-09-30,$139
2019-06-30,$73
2019-03-31,$70
2018-12-31,$62
2018-09-30,$57
2018-06-30,$79
2018-03-31,$84
2017-12-31,$62
2017-09-30,$-132
2017-06-30,$65
2017-03-31,$104
2016-12-31,$124
2016-09-30,$79
2016-06-30,$108
2016-03-31,$56
2015-12-31,$61
2015-09-30,$79
2015-06-30,$41
2015-03-31,$43
2014-12-31,$57
2014-09-30,$62
2014-06-30,$47
2014-03-31,$56
2013-12-31,$47
2013-09-30,$38
2013-06-30,$49
2013-03-31,$38
2012-12-31,$34
2012-09-30,$30
2012-06-30,$31
2012-03-31,$26
2011-12-31,$19
2011-09-30,$21
2011-06-30,$18
2011-03-31,$-11
2010-12-31,$3
2010-09-30,$15
2010-06-30,$13
2010-03-31,$19
2009-12-31,$14
2009-09-30,$19
2009-06-30,$18
2009-03-31,$23
