Mirum Pharmaceuticals Quarterly Net Income (Millions of US $),Mirum Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-06-30,$-25
2024-03-31,$-25
2023-12-31,$-36
2023-09-30,$-24
2023-06-30,$-74
2023-03-31,$-30
2022-12-31,$-36
2022-09-30,$-36
2022-06-30,$-27
2022-03-31,$-37
2021-12-31,$58
2021-09-30,$-47
2021-06-30,$-44
2021-03-31,$-51
2020-12-31,$-37
2020-09-30,$-22
2020-06-30,$-23
2020-03-31,$-21
2019-12-31,$-18
2019-09-30,$-15
2019-06-30,$-14
2019-03-31,$-6
2018-12-31,
2018-09-30,$-0
