Apellis Pharmaceuticals Quarterly Net Income (Millions of US $),Apellis Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-06-30,$-38
2024-03-31,$-66
2023-12-31,$-89
2023-09-30,$-140
2023-06-30,$-122
2023-03-31,$-178
2022-12-31,$-166
2022-09-30,$-191
2022-06-30,$-156
2022-03-31,$-139
2021-12-31,$-148
2021-09-30,$-196
2021-06-30,$-219
2021-03-31,$-184
2020-12-31,$78
2020-09-30,$-136
2020-06-30,$-119
2020-03-31,$-169
2019-12-31,$-113
2019-09-30,$-70
2019-06-30,$-71
2019-03-31,$-51
2018-12-31,$-37
2018-09-30,$-36
2018-06-30,$-33
2018-03-31,$-22
2017-12-31,$-18
2017-09-30,$-12
2017-06-30,$-12
2017-03-31,$-9
2016-12-31,
2016-09-30,$-7
2015-12-31,
