Amicus Therapeutics Quarterly Net Income (Millions of US $),Amicus Therapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$-16
2024-03-31,$-48
2023-12-31,$-34
2023-09-30,$-22
2023-06-30,$-43
2023-03-31,$-53
2022-12-31,$-56
2022-09-30,$-33
2022-06-30,$-62
2022-03-31,$-85
2021-12-31,$-83
2021-09-30,$-50
2021-06-30,$-51
2021-03-31,$-66
2020-12-31,$-71
2020-09-30,$-64
2020-06-30,$-52
2020-03-31,$-89
2019-12-31,$-90
2019-09-30,$-62
2019-06-30,$-85
2019-03-31,$-120
2018-12-31,$-78
2018-09-30,$-159
2018-06-30,$-62
2018-03-31,$-50
2017-12-31,$-69
2017-09-30,$-112
2017-06-30,$-48
2017-03-31,$-55
2016-12-31,$-59
2016-09-30,$-47
2016-06-30,$-51
2016-03-31,$-44
2015-12-31,$-43
2015-09-30,$-38
2015-06-30,$-27
2015-03-31,$-24
2014-12-31,$-21
2014-09-30,$-17
2014-06-30,$-15
2014-03-31,$-16
2013-12-31,$-12
2013-09-30,$-15
2013-06-30,$-15
2013-03-31,$-17
2012-12-31,$-10
2012-09-30,$-16
2012-06-30,$-9
2012-03-31,$-13
2011-12-31,$-9
2011-09-30,$-10
2011-06-30,$-13
2011-03-31,$-13
2010-12-31,$-15
2010-09-30,$-15
2010-06-30,$-11
2010-03-31,$-13
2009-12-31,$33
2009-09-30,$-13
2009-06-30,$-14
2009-03-31,$-12
