AMN Healthcare Services Inc Quarterly Net Income (Millions of US $),AMN Healthcare Services Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$16
2024-03-31,$17
2023-12-31,$12
2023-09-30,$53
2023-06-30,$61
2023-03-31,$84
2022-12-31,$82
2022-09-30,$92
2022-06-30,$124
2022-03-31,$146
2021-12-31,$116
2021-09-30,$74
2021-06-30,$67
2021-03-31,$70
2020-12-31,$9
2020-09-30,$26
2020-06-30,$22
2020-03-31,$13
2019-12-31,$27
2019-09-30,$24
2019-06-30,$29
2019-03-31,$34
2018-12-31,$36
2018-09-30,$28
2018-06-30,$36
2018-03-31,$43
2017-12-31,$41
2017-09-30,$28
2017-06-30,$31
2017-03-31,$32
2016-12-31,$26
2016-09-30,$27
2016-06-30,$26
2016-03-31,$26
2015-12-31,$20
2015-09-30,$34
2015-06-30,$16
2015-03-31,$12
2014-12-31,$10
2014-09-30,$8
2014-06-30,$7
2014-03-31,$8
2013-12-31,$8
2013-09-30,$9
2013-06-30,$8
2013-03-31,$8
2012-12-31,$7
2012-09-30,$5
2012-06-30,$-0
2012-03-31,$4
2011-12-31,$-2
2011-09-30,$-27
2011-06-30,$1
2011-03-31,$2
2010-12-31,$-1
2010-09-30,$-52
2010-06-30,$0
2010-03-31,$1
2009-12-31,$-3
2009-09-30,$-2
2009-06-30,$4
2009-03-31,$-122
