Sarepta Therapeutics Quarterly Net Income (Millions of US $),Sarepta Therapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$6
2024-03-31,$36
2023-12-31,$46
2023-09-30,$-41
2023-06-30,$-24
2023-03-31,$-517
2022-12-31,$-109
2022-09-30,$-258
2022-06-30,$-231
2022-03-31,$-105
2021-12-31,$-122
2021-09-30,$-48
2021-06-30,$-81
2021-03-31,$-167
2020-12-31,$-189
2020-09-30,$-196
2020-06-30,$-151
2020-03-31,$-17
2019-12-31,$-236
2019-09-30,$-126
2019-06-30,$-276
2019-03-31,$-77
2018-12-31,$-141
2018-09-30,$-76
2018-06-30,$-109
2018-03-31,$-35
2017-12-31,$-24
2017-09-30,$-48
2017-06-30,$-63
2017-03-31,$84
2016-12-31,$-88
2016-09-30,$-57
2016-06-30,$-62
2016-03-31,$-60
2015-12-31,$-65
2015-09-30,$-52
2015-06-30,$-42
2015-03-31,$-62
2014-12-31,$-44
2014-09-30,$-29
2014-06-30,$-34
2014-03-31,$-28
2013-12-31,$-9
2013-09-30,$-42
2013-06-30,$-19
2013-03-31,$-42
2012-12-31,$-62
2012-09-30,$-50
2012-06-30,$8
2012-03-31,$-18
2011-12-31,$-1
2011-09-30,$-4
2011-06-30,$1
2011-03-31,$2
2010-12-31,$-8
2010-09-30,$-7
2010-06-30,$-17
2010-03-31,$-1
2009-12-31,$4
2009-09-30,$-8
2009-06-30,$-20
2009-03-31,$-1
