Sabra Healthcare REIT Quarterly Net Income (Millions of US $),Sabra Healthcare REIT Quarterly Net Income (Millions of US $).1
2024-06-30,$24
2024-03-31,$26
2023-12-31,$17
2023-09-30,$-15
2023-06-30,$21
2023-03-31,$-9
2022-12-31,$-85
2022-09-30,$-50
2022-06-30,$17
2022-03-31,$41
2021-12-31,$-24
2021-09-30,$10
2021-06-30,$-133
2021-03-31,$33
2020-12-31,$37
2020-09-30,$36
2020-06-30,$30
2020-03-31,$35
2019-12-31,$40
2019-09-30,$23
2019-06-30,$84
2019-03-31,$-78
2018-12-31,$-19
2018-09-30,$35
2018-06-30,$194
2018-03-31,$60
2017-12-31,$101
2017-09-30,$13
2017-06-30,$18
2017-03-31,$16
2016-12-31,$21
2016-09-30,$23
2016-06-30,$35
2016-03-31,$-18
2015-12-31,$23
2015-09-30,$16
2015-06-30,$14
2015-03-31,$17
2014-12-31,$20
2014-09-30,$15
2014-06-30,$12
2014-03-31,$-10
2013-12-31,$10
2013-09-30,$9
2013-06-30,$-3
2013-03-31,$9
2012-12-31,$4
2012-09-30,$5
2012-06-30,$6
2012-03-31,$4
2011-12-31,$7
2011-09-30,$2
2011-06-30,$2
2011-03-31,$1
2010-12-31,$-28
2010-09-30,$8
2010-06-30,$10
2010-03-31,$10
2009-12-31,$9
2009-09-30,$10
2009-06-30,$10
2009-03-31,$10
